,Unnamed: 0,platforms,genres,rating,title,url,star,review,author,n_ratings,cover,id,type
17,17,PC / PS4 / Xbox One,游戏 / 角色扮演 / 冒险 / 动作,9.5,黑暗之魂3：环印城 Dark Soul III: The Ringed City,https://www.douban.com/game/26961929/,50.0,无限猴子定理：如果让无数只猴子在电脑前随机地滚键盘，那么在无限的时间跨度里，总有一只可以通关黑魂3火灭版。灰烬大人，您真的是只特别的猴子呢。,李闰土骨灰撒海,653.0,https://img1.doubanio.com/lpic/s29582119.jpg,17,动作
18,18,Wii,游戏 / 动作,9.5,超级马力欧银河2 スーパーマリオギャラクシー 2,https://www.douban.com/game/21363025/,50.0,这是我玩过关卡设计最好最美丽的游戏。简直是艺术品。完全抑制不住射精的冲动。,松湯,269.0,https://img3.doubanio.com/lpic/s28397843.jpg,18,动作
19,19,GBA,游戏 / 角色扮演 / 动作,9.5,塞尔达传说：缩小帽 ゼルダの伝説 ふしぎのぼうし,https://www.douban.com/game/10741155/,50.0,我是真的嫉妒任天堂。横版过关类型的《银河战士》里的关卡迷宫化设计和道具收集系统等诸多设计理念放到ARPG类型的《塞尔达传说》里却仍然适用，不，应该说是比《银河战士》更适用。迷宫设计的精巧和适时的变大变小的创意先放一边，单是对幸福碎片的收集，就足够让玩家忙上半天。“会有好事发生吗？”当然了，还有比玩到这种好游戏更好的事吗？果然，我还是嫉妒任天堂。,残响死灭,1178.0,https://img1.doubanio.com/lpic/s28398578.jpg,19,动作
20,20,PC,游戏 / 格斗 / 模拟 / 角色扮演 / 冒险 / 策略 / 动作,9.5,骑马与砍杀：战团——16世纪北半球 16th Century the-Northern Hemisphere,https://www.douban.com/game/30187351/,50.0,16th，世界发现的的历史,大肚子海盗,54.0,https://img3.doubanio.com/lpic/s29732494.jpg,20,动作
21,21,FC/NES/红白机,游戏 / 横版过关 / 动作,9.5,超级马里奥兄弟 スーパーマリオブラザーズ,https://www.douban.com/game/10735077/,50.0,重来就没有通过关,赖猫不,8400.0,https://img1.doubanio.com/lpic/s28394668.jpg,21,动作
22,22,PC / Mac / PS3 / Xbox 360 / Linux,游戏 / 第一人称射击 / 益智 / 射击 / 动作,9.5,传送门 2 Portal 2,https://www.douban.com/game/10734307/,50.0,靠玩这个双人模式把了个妹。。,风过初凉,3163.0,https://img1.doubanio.com/lpic/s9090498.jpg,22,动作
23,23,PC / PS4 / Xbox One,游戏 / 角色扮演 / 冒险 / 动作,9.4,黑暗之魂3：薪火消逝 Dark Souls 3: The Fire Fades Edition,https://www.douban.com/game/27005567/,50.0,让葛雷瑞特去伊鲁席尔偷窃，因为我需要贤者烛台。本可以让帕奇或洋葱救他回来，但罪业之都里又有个啥需要的道具于是我先去推尤姆。后来发现小偷死在下水道粪坑里。捡走遗骨回祭侍场交给老婆婆想买烛台，当她说“怎么这骨头还是温润的”时，回忆起他听到女人死讯时的无助蜷缩，意识到自己已经是活尸了。,norve,365.0,https://img3.doubanio.com/lpic/s32292381.jpg,23,动作
24,24,PC / Mac / Linux,游戏 / 模拟 / 角色扮演 / 策略 / 动作,9.4,骑马与砍杀：战团 Mount & Blade: Warband,https://www.douban.com/game/26347117/,50.0,"感谢Taleworlds展现的如此庞大而美丽的卡拉迪亚大陆以及骑砍中文站汉化组了不起的汉化成果。

我享受在这片土地上自由地旅行，结交性格出身各异的伙伴。雪国酒馆里温暖的火炉，维鲁加绿荫环绕的街道，壮丽大漠中一点快乐的绿洲，日瓦车则饱受风吹雨打的古城墙，都是我路途中的陪伴。

浏览哈尔玛人来人往的市集，买一罐来自东方的秘制胭脂。
萨哥斯自由浪漫的吟游诗人教会了我《凯斯和莱亚拉的故事》：
“风吹起草原上的尘埃，
拂过你塔中的帘子，
月光照耀着我醉酒后的归途。
看你在那亭中熟睡，
若我向风儿哀求，
它能带走我唇边的讯息吗？
若我在月前痛哭，
它会让我偷偷的看你吗？”
不知远在斯国的乔安娜女士是否也在仰望满天繁星，孤独地诵读着这首诗？",CamaeL'143,1641.0,https://img3.doubanio.com/lpic/s28047476.jpg,24,动作
25,25,PC / PS3 / Xbox 360,游戏 / 角色扮演 / 冒险 / 动作,9.4,黑暗之魂 Dark Souls,https://www.douban.com/game/10767584/,50.0,"砍草游戏,只不过我是草 : (",((((辐射)))),1586.0,https://img1.doubanio.com/lpic/s27230838.jpg,25,动作
26,26,PSV/PS Vita,游戏 / 角色扮演 / 动作,9.4,胧村正DLC第三弹 白蛇 元禄怪奇譚－七夜祟妖魔忍伝,https://www.douban.com/game/26367960/,50.0,岚丸超级池啊,猫姉さん,32.0,https://img3.doubanio.com/lpic/s29237782.jpg,26,动作
